timestamp,ticker,signal_type,price,strategy,metadata
2025-12-29 00:00:00+00:00,BTCUSDT,entry_long,88295.69,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2025-12-31 16:00:00+00:00,BTCUSDT,entry_short,87656.98,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-01 11:00:00+00:00,BTCUSDT,entry_long,88024.64,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-06 16:00:00+00:00,BTCUSDT,entry_short,92692.32,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-11 12:00:00+00:00,BTCUSDT,entry_long,90938.13,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-11 22:00:00+00:00,BTCUSDT,entry_short,90526.02,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-12 00:00:00+00:00,BTCUSDT,entry_long,91258.65,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-15 18:00:00+00:00,BTCUSDT,entry_short,95835.0,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-18 18:00:00+00:00,BTCUSDT,entry_long,95439.6,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-18 23:00:00+00:00,BTCUSDT,entry_short,93673.14,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-21 15:00:00+00:00,BTCUSDT,entry_long,90288.04,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-21 16:00:00+00:00,BTCUSDT,entry_short,87602.4,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-23 17:00:00+00:00,BTCUSDT,entry_long,90600.0,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-24 15:00:00+00:00,BTCUSDT,entry_short,89275.77,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-27 01:00:00+00:00,BTCUSDT,entry_long,88550.61,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2025-12-29 00:00:00+00:00,ETHUSDT,entry_long,2966.77,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-07 15:00:00+00:00,ETHUSDT,entry_short,3164.7,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-11 10:00:00+00:00,ETHUSDT,entry_long,3107.76,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-16 15:00:00+00:00,ETHUSDT,entry_short,3264.18,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-17 14:00:00+00:00,ETHUSDT,entry_long,3310.45,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-18 23:00:00+00:00,ETHUSDT,entry_short,3284.03,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-21 19:00:00+00:00,ETHUSDT,entry_long,3055.56,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-22 14:00:00+00:00,ETHUSDT,entry_short,2941.33,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2025-12-29 09:00:00+00:00,BNBUSDT,entry_short,851.49,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2025-12-30 08:00:00+00:00,BNBUSDT,entry_long,856.51,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-06 17:00:00+00:00,BNBUSDT,entry_short,893.93,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-10 03:00:00+00:00,BNBUSDT,entry_long,907.31,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-11 20:00:00+00:00,BNBUSDT,entry_short,902.28,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-13 06:00:00+00:00,BNBUSDT,entry_long,911.75,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-15 19:00:00+00:00,BNBUSDT,entry_short,928.07,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-17 15:00:00+00:00,BNBUSDT,entry_long,955.37,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-18 23:00:00+00:00,BNBUSDT,entry_short,932.51,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-20 01:00:00+00:00,BNBUSDT,entry_long,932.38,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-20 06:00:00+00:00,BNBUSDT,entry_short,915.32,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-23 16:00:00+00:00,BNBUSDT,entry_long,895.96,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-24 15:00:00+00:00,BNBUSDT,entry_short,888.7,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
2026-01-26 18:00:00+00:00,BNBUSDT,entry_long,878.07,bollinger_b2b,"{'period': 20, 'num_std': 2.0}"
